W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,T8
4.5,-1.23,-5.16,-2.64,1.78,2.4,0.23,2.64,-3.98,-1.63,-3.99,2.29,4.4,1.58,-5.64,-1.6,0.14,-0.79,-0.39,0.51,1
-0.52,4.5,-1.23,-5.16,-2.64,1.78,2.4,0.23,2.64,-3.98,-1.63,-3.99,2.29,4.4,1.58,-5.64,-1.6,0.14,-0.79,-0.39,1
-1.57,-0.52,4.5,-1.23,-5.16,-2.64,1.78,2.4,0.23,2.64,-3.98,-1.63,-3.99,2.29,4.4,1.58,-5.64,-1.6,0.14,-0.79,1
2.81,-1.57,-0.52,4.5,-1.23,-5.16,-2.64,1.78,2.4,0.23,2.64,-3.98,-1.63,-3.99,2.29,4.4,1.58,-5.64,-1.6,0.14,1
3.89,2.81,-1.57,-0.52,4.5,-1.23,-5.16,-2.64,1.78,2.4,0.23,2.64,-3.98,-1.63,-3.99,2.29,4.4,1.58,-5.64,-1.6,1
-3.69,3.89,2.81,-1.57,-0.52,4.5,-1.23,-5.16,-2.64,1.78,2.4,0.23,2.64,-3.98,-1.63,-3.99,2.29,4.4,1.58,-5.64,1
3.16,-3.69,3.89,2.81,-1.57,-0.52,4.5,-1.23,-5.16,-2.64,1.78,2.4,0.23,2.64,-3.98,-1.63,-3.99,2.29,4.4,1.58,1
-0.53,3.16,-3.69,3.89,2.81,-1.57,-0.52,4.5,-1.23,-5.16,-2.64,1.78,2.4,0.23,2.64,-3.98,-1.63,-3.99,2.29,4.4,1
-0.39,-0.53,3.16,-3.69,3.89,2.81,-1.57,-0.52,4.5,-1.23,-5.16,-2.64,1.78,2.4,0.23,2.64,-3.98,-1.63,-3.99,2.29,1
3.78,-0.39,-0.53,3.16,-3.69,3.89,2.81,-1.57,-0.52,4.5,-1.23,-5.16,-2.64,1.78,2.4,0.23,2.64,-3.98,-1.63,-3.99,1
0.2,3.78,-0.39,-0.53,3.16,-3.69,3.89,2.81,-1.57,-0.52,4.5,-1.23,-5.16,-2.64,1.78,2.4,0.23,2.64,-3.98,-1.63,1
-1.78,0.2,3.78,-0.39,-0.53,3.16,-3.69,3.89,2.81,-1.57,-0.52,4.5,-1.23,-5.16,-2.64,1.78,2.4,0.23,2.64,-3.98,1
1.7,-1.78,0.2,3.78,-0.39,-0.53,3.16,-3.69,3.89,2.81,-1.57,-0.52,4.5,-1.23,-5.16,-2.64,1.78,2.4,0.23,2.64,1
2.63,1.7,-1.78,0.2,3.78,-0.39,-0.53,3.16,-3.69,3.89,2.81,-1.57,-0.52,4.5,-1.23,-5.16,-2.64,1.78,2.4,0.23,1
5.51,2.63,1.7,-1.78,0.2,3.78,-0.39,-0.53,3.16,-3.69,3.89,2.81,-1.57,-0.52,4.5,-1.23,-5.16,-2.64,1.78,2.4,1
2.02,5.51,2.63,1.7,-1.78,0.2,3.78,-0.39,-0.53,3.16,-3.69,3.89,2.81,-1.57,-0.52,4.5,-1.23,-5.16,-2.64,1.78,1
0.87,2.02,5.51,2.63,1.7,-1.78,0.2,3.78,-0.39,-0.53,3.16,-3.69,3.89,2.81,-1.57,-0.52,4.5,-1.23,-5.16,-2.64,1
1.3,0.87,2.02,5.51,2.63,1.7,-1.78,0.2,3.78,-0.39,-0.53,3.16,-3.69,3.89,2.81,-1.57,-0.52,4.5,-1.23,-5.16,1
0.03,1.3,0.87,2.02,5.51,2.63,1.7,-1.78,0.2,3.78,-0.39,-0.53,3.16,-3.69,3.89,2.81,-1.57,-0.52,4.5,-1.23,1
-2.71,0.03,1.3,0.87,2.02,5.51,2.63,1.7,-1.78,0.2,3.78,-0.39,-0.53,3.16,-3.69,3.89,2.81,-1.57,-0.52,4.5,1
3.82,-2.71,0.03,1.3,0.87,2.02,5.51,2.63,1.7,-1.78,0.2,3.78,-0.39,-0.53,3.16,-3.69,3.89,2.81,-1.57,-0.52,1
-4.97,3.82,-2.71,0.03,1.3,0.87,2.02,5.51,2.63,1.7,-1.78,0.2,3.78,-0.39,-0.53,3.16,-3.69,3.89,2.81,-1.57,1
-0.07,-4.97,3.82,-2.71,0.03,1.3,0.87,2.02,5.51,2.63,1.7,-1.78,0.2,3.78,-0.39,-0.53,3.16,-3.69,3.89,2.81,1
2.85,-0.07,-4.97,3.82,-2.71,0.03,1.3,0.87,2.02,5.51,2.63,1.7,-1.78,0.2,3.78,-0.39,-0.53,3.16,-3.69,3.89,1
2.04,2.85,-0.07,-4.97,3.82,-2.71,0.03,1.3,0.87,2.02,5.51,2.63,1.7,-1.78,0.2,3.78,-0.39,-0.53,3.16,-3.69,0
0.18,2.04,2.85,-0.07,-4.97,3.82,-2.71,0.03,1.3,0.87,2.02,5.51,2.63,1.7,-1.78,0.2,3.78,-0.39,-0.53,3.16,1
6.65,0.18,2.04,2.85,-0.07,-4.97,3.82,-2.71,0.03,1.3,0.87,2.02,5.51,2.63,1.7,-1.78,0.2,3.78,-0.39,-0.53,1
-5.94,6.65,0.18,2.04,2.85,-0.07,-4.97,3.82,-2.71,0.03,1.3,0.87,2.02,5.51,2.63,1.7,-1.78,0.2,3.78,-0.39,1
0.3,-5.94,6.65,0.18,2.04,2.85,-0.07,-4.97,3.82,-2.71,0.03,1.3,0.87,2.02,5.51,2.63,1.7,-1.78,0.2,3.78,1
-0.96,0.3,-5.94,6.65,0.18,2.04,2.85,-0.07,-4.97,3.82,-2.71,0.03,1.3,0.87,2.02,5.51,2.63,1.7,-1.78,0.2,1
2.33,-0.96,0.3,-5.94,6.65,0.18,2.04,2.85,-0.07,-4.97,3.82,-2.71,0.03,1.3,0.87,2.02,5.51,2.63,1.7,-1.78,1
-0.84,2.33,-0.96,0.3,-5.94,6.65,0.18,2.04,2.85,-0.07,-4.97,3.82,-2.71,0.03,1.3,0.87,2.02,5.51,2.63,1.7,1
2.17,-0.84,2.33,-0.96,0.3,-5.94,6.65,0.18,2.04,2.85,-0.07,-4.97,3.82,-2.71,0.03,1.3,0.87,2.02,5.51,2.63,1
3.51,2.17,-0.84,2.33,-0.96,0.3,-5.94,6.65,0.18,2.04,2.85,-0.07,-4.97,3.82,-2.71,0.03,1.3,0.87,2.02,5.51,1
-0.65,3.51,2.17,-0.84,2.33,-0.96,0.3,-5.94,6.65,0.18,2.04,2.85,-0.07,-4.97,3.82,-2.71,0.03,1.3,0.87,2.02,1
2.61,-0.65,3.51,2.17,-0.84,2.33,-0.96,0.3,-5.94,6.65,0.18,2.04,2.85,-0.07,-4.97,3.82,-2.71,0.03,1.3,0.87,1
1.86,2.61,-0.65,3.51,2.17,-0.84,2.33,-0.96,0.3,-5.94,6.65,0.18,2.04,2.85,-0.07,-4.97,3.82,-2.71,0.03,1.3,0
3.24,1.86,2.61,-0.65,3.51,2.17,-0.84,2.33,-0.96,0.3,-5.94,6.65,0.18,2.04,2.85,-0.07,-4.97,3.82,-2.71,0.03,0
5.58,3.24,1.86,2.61,-0.65,3.51,2.17,-0.84,2.33,-0.96,0.3,-5.94,6.65,0.18,2.04,2.85,-0.07,-4.97,3.82,-2.71,0
0.63,5.58,3.24,1.86,2.61,-0.65,3.51,2.17,-0.84,2.33,-0.96,0.3,-5.94,6.65,0.18,2.04,2.85,-0.07,-4.97,3.82,0
-0.76,0.63,5.58,3.24,1.86,2.61,-0.65,3.51,2.17,-0.84,2.33,-0.96,0.3,-5.94,6.65,0.18,2.04,2.85,-0.07,-4.97,0
2.08,-0.76,0.63,5.58,3.24,1.86,2.61,-0.65,3.51,2.17,-0.84,2.33,-0.96,0.3,-5.94,6.65,0.18,2.04,2.85,-0.07,0
0.89,2.08,-0.76,0.63,5.58,3.24,1.86,2.61,-0.65,3.51,2.17,-0.84,2.33,-0.96,0.3,-5.94,6.65,0.18,2.04,2.85,0
-4.4,0.89,2.08,-0.76,0.63,5.58,3.24,1.86,2.61,-0.65,3.51,2.17,-0.84,2.33,-0.96,0.3,-5.94,6.65,0.18,2.04,0
-1.99,-4.4,0.89,2.08,-0.76,0.63,5.58,3.24,1.86,2.61,-0.65,3.51,2.17,-0.84,2.33,-0.96,0.3,-5.94,6.65,0.18,0
-1.5,-1.99,-4.4,0.89,2.08,-0.76,0.63,5.58,3.24,1.86,2.61,-0.65,3.51,2.17,-0.84,2.33,-0.96,0.3,-5.94,6.65,0
-0.06,-1.5,-1.99,-4.4,0.89,2.08,-0.76,0.63,5.58,3.24,1.86,2.61,-0.65,3.51,2.17,-0.84,2.33,-0.96,0.3,-5.94,0
-0.2,-0.06,-1.5,-1.99,-4.4,0.89,2.08,-0.76,0.63,5.58,3.24,1.86,2.61,-0.65,3.51,2.17,-0.84,2.33,-0.96,0.3,1
-1.8,-0.2,-0.06,-1.5,-1.99,-4.4,0.89,2.08,-0.76,0.63,5.58,3.24,1.86,2.61,-0.65,3.51,2.17,-0.84,2.33,-0.96,1
-4.56,-1.8,-0.2,-0.06,-1.5,-1.99,-4.4,0.89,2.08,-0.76,0.63,5.58,3.24,1.86,2.61,-0.65,3.51,2.17,-0.84,2.33,1
-0.58,-4.56,-1.8,-0.2,-0.06,-1.5,-1.99,-4.4,0.89,2.08,-0.76,0.63,5.58,3.24,1.86,2.61,-0.65,3.51,2.17,-0.84,1
-4.5,-0.58,-4.56,-1.8,-0.2,-0.06,-1.5,-1.99,-4.4,0.89,2.08,-0.76,0.63,5.58,3.24,1.86,2.61,-0.65,3.51,2.17,1
3.11,-4.5,-0.58,-4.56,-1.8,-0.2,-0.06,-1.5,-1.99,-4.4,0.89,2.08,-0.76,0.63,5.58,3.24,1.86,2.61,-0.65,3.51,1
-0.58,3.11,-4.5,-0.58,-4.56,-1.8,-0.2,-0.06,-1.5,-1.99,-4.4,0.89,2.08,-0.76,0.63,5.58,3.24,1.86,2.61,-0.65,1
3.4,-0.58,3.11,-4.5,-0.58,-4.56,-1.8,-0.2,-0.06,-1.5,-1.99,-4.4,0.89,2.08,-0.76,0.63,5.58,3.24,1.86,2.61,1
-1.51,3.4,-0.58,3.11,-4.5,-0.58,-4.56,-1.8,-0.2,-0.06,-1.5,-1.99,-4.4,0.89,2.08,-0.76,0.63,5.58,3.24,1.86,0
1.69,-1.51,3.4,-0.58,3.11,-4.5,-0.58,-4.56,-1.8,-0.2,-0.06,-1.5,-1.99,-4.4,0.89,2.08,-0.76,0.63,5.58,3.24,0
3.16,1.69,-1.51,3.4,-0.58,3.11,-4.5,-0.58,-4.56,-1.8,-0.2,-0.06,-1.5,-1.99,-4.4,0.89,2.08,-0.76,0.63,5.58,1
-0.18,3.16,1.69,-1.51,3.4,-0.58,3.11,-4.5,-0.58,-4.56,-1.8,-0.2,-0.06,-1.5,-1.99,-4.4,0.89,2.08,-0.76,0.63,1
-0.58,-0.18,3.16,1.69,-1.51,3.4,-0.58,3.11,-4.5,-0.58,-4.56,-1.8,-0.2,-0.06,-1.5,-1.99,-4.4,0.89,2.08,-0.76,1
-1.22,-0.58,-0.18,3.16,1.69,-1.51,3.4,-0.58,3.11,-4.5,-0.58,-4.56,-1.8,-0.2,-0.06,-1.5,-1.99,-4.4,0.89,2.08,0
-2.67,-1.22,-0.58,-0.18,3.16,1.69,-1.51,3.4,-0.58,3.11,-4.5,-0.58,-4.56,-1.8,-0.2,-0.06,-1.5,-1.99,-4.4,0.89,0
2.09,-2.67,-1.22,-0.58,-0.18,3.16,1.69,-1.51,3.4,-0.58,3.11,-4.5,-0.58,-4.56,-1.8,-0.2,-0.06,-1.5,-1.99,-4.4,0
0.29,2.09,-2.67,-1.22,-0.58,-0.18,3.16,1.69,-1.51,3.4,-0.58,3.11,-4.5,-0.58,-4.56,-1.8,-0.2,-0.06,-1.5,-1.99,0
1.62,0.29,2.09,-2.67,-1.22,-0.58,-0.18,3.16,1.69,-1.51,3.4,-0.58,3.11,-4.5,-0.58,-4.56,-1.8,-0.2,-0.06,-1.5,0
-0.44,1.62,0.29,2.09,-2.67,-1.22,-0.58,-0.18,3.16,1.69,-1.51,3.4,-0.58,3.11,-4.5,-0.58,-4.56,-1.8,-0.2,-0.06,0
-1.16,-0.44,1.62,0.29,2.09,-2.67,-1.22,-0.58,-0.18,3.16,1.69,-1.51,3.4,-0.58,3.11,-4.5,-0.58,-4.56,-1.8,-0.2,0
2.71,-1.16,-0.44,1.62,0.29,2.09,-2.67,-1.22,-0.58,-0.18,3.16,1.69,-1.51,3.4,-0.58,3.11,-4.5,-0.58,-4.56,-1.8,0
-1.64,2.71,-1.16,-0.44,1.62,0.29,2.09,-2.67,-1.22,-0.58,-0.18,3.16,1.69,-1.51,3.4,-0.58,3.11,-4.5,-0.58,-4.56,0
0.82,-1.64,2.71,-1.16,-0.44,1.62,0.29,2.09,-2.67,-1.22,-0.58,-0.18,3.16,1.69,-1.51,3.4,-0.58,3.11,-4.5,-0.58,0
-3.08,0.82,-1.64,2.71,-1.16,-0.44,1.62,0.29,2.09,-2.67,-1.22,-0.58,-0.18,3.16,1.69,-1.51,3.4,-0.58,3.11,-4.5,0
-0.16,-3.08,0.82,-1.64,2.71,-1.16,-0.44,1.62,0.29,2.09,-2.67,-1.22,-0.58,-0.18,3.16,1.69,-1.51,3.4,-0.58,3.11,0
-1.56,-0.16,-3.08,0.82,-1.64,2.71,-1.16,-0.44,1.62,0.29,2.09,-2.67,-1.22,-0.58,-0.18,3.16,1.69,-1.51,3.4,-0.58,0
-3.79,-1.56,-0.16,-3.08,0.82,-1.64,2.71,-1.16,-0.44,1.62,0.29,2.09,-2.67,-1.22,-0.58,-0.18,3.16,1.69,-1.51,3.4,0
-0.48,-3.79,-1.56,-0.16,-3.08,0.82,-1.64,2.71,-1.16,-0.44,1.62,0.29,2.09,-2.67,-1.22,-0.58,-0.18,3.16,1.69,-1.51,1
-4.6,-0.48,-3.79,-1.56,-0.16,-3.08,0.82,-1.64,2.71,-1.16,-0.44,1.62,0.29,2.09,-2.67,-1.22,-0.58,-0.18,3.16,1.69,1
-3.89,-4.6,-0.48,-3.79,-1.56,-0.16,-3.08,0.82,-1.64,2.71,-1.16,-0.44,1.62,0.29,2.09,-2.67,-1.22,-0.58,-0.18,3.16,1
1.44,-3.89,-4.6,-0.48,-3.79,-1.56,-0.16,-3.08,0.82,-1.64,2.71,-1.16,-0.44,1.62,0.29,2.09,-2.67,-1.22,-0.58,-0.18,1
-0.98,1.44,-3.89,-4.6,-0.48,-3.79,-1.56,-0.16,-3.08,0.82,-1.64,2.71,-1.16,-0.44,1.62,0.29,2.09,-2.67,-1.22,-0.58,1
-0.58,-0.98,1.44,-3.89,-4.6,-0.48,-3.79,-1.56,-0.16,-3.08,0.82,-1.64,2.71,-1.16,-0.44,1.62,0.29,2.09,-2.67,-1.22,1
-2.72,-0.58,-0.98,1.44,-3.89,-4.6,-0.48,-3.79,-1.56,-0.16,-3.08,0.82,-1.64,2.71,-1.16,-0.44,1.62,0.29,2.09,-2.67,1
1.78,-2.72,-0.58,-0.98,1.44,-3.89,-4.6,-0.48,-3.79,-1.56,-0.16,-3.08,0.82,-1.64,2.71,-1.16,-0.44,1.62,0.29,2.09,0
3.25,1.78,-2.72,-0.58,-0.98,1.44,-3.89,-4.6,-0.48,-3.79,-1.56,-0.16,-3.08,0.82,-1.64,2.71,-1.16,-0.44,1.62,0.29,0
-1.73,3.25,1.78,-2.72,-0.58,-0.98,1.44,-3.89,-4.6,-0.48,-3.79,-1.56,-0.16,-3.08,0.82,-1.64,2.71,-1.16,-0.44,1.62,0
1.52,-1.73,3.25,1.78,-2.72,-0.58,-0.98,1.44,-3.89,-4.6,-0.48,-3.79,-1.56,-0.16,-3.08,0.82,-1.64,2.71,-1.16,-0.44,0
3.24,1.52,-1.73,3.25,1.78,-2.72,-0.58,-0.98,1.44,-3.89,-4.6,-0.48,-3.79,-1.56,-0.16,-3.08,0.82,-1.64,2.71,-1.16,0
3.2,3.24,1.52,-1.73,3.25,1.78,-2.72,-0.58,-0.98,1.44,-3.89,-4.6,-0.48,-3.79,-1.56,-0.16,-3.08,0.82,-1.64,2.71,0
0.17,3.2,3.24,1.52,-1.73,3.25,1.78,-2.72,-0.58,-0.98,1.44,-3.89,-4.6,-0.48,-3.79,-1.56,-0.16,-3.08,0.82,-1.64,0
-0.65,0.17,3.2,3.24,1.52,-1.73,3.25,1.78,-2.72,-0.58,-0.98,1.44,-3.89,-4.6,-0.48,-3.79,-1.56,-0.16,-3.08,0.82,0
-1.89,-0.65,0.17,3.2,3.24,1.52,-1.73,3.25,1.78,-2.72,-0.58,-0.98,1.44,-3.89,-4.6,-0.48,-3.79,-1.56,-0.16,-3.08,1
-2.14,-1.89,-0.65,0.17,3.2,3.24,1.52,-1.73,3.25,1.78,-2.72,-0.58,-0.98,1.44,-3.89,-4.6,-0.48,-3.79,-1.56,-0.16,1
-5.08,-2.14,-1.89,-0.65,0.17,3.2,3.24,1.52,-1.73,3.25,1.78,-2.72,-0.58,-0.98,1.44,-3.89,-4.6,-0.48,-3.79,-1.56,1
1.35,-5.08,-2.14,-1.89,-0.65,0.17,3.2,3.24,1.52,-1.73,3.25,1.78,-2.72,-0.58,-0.98,1.44,-3.89,-4.6,-0.48,-3.79,1
1.91,1.35,-5.08,-2.14,-1.89,-0.65,0.17,3.2,3.24,1.52,-1.73,3.25,1.78,-2.72,-0.58,-0.98,1.44,-3.89,-4.6,-0.48,1
-3.94,1.91,1.35,-5.08,-2.14,-1.89,-0.65,0.17,3.2,3.24,1.52,-1.73,3.25,1.78,-2.72,-0.58,-0.98,1.44,-3.89,-4.6,1
1.6,-3.94,1.91,1.35,-5.08,-2.14,-1.89,-0.65,0.17,3.2,3.24,1.52,-1.73,3.25,1.78,-2.72,-0.58,-0.98,1.44,-3.89,1
-1.95,1.6,-3.94,1.91,1.35,-5.08,-2.14,-1.89,-0.65,0.17,3.2,3.24,1.52,-1.73,3.25,1.78,-2.72,-0.58,-0.98,1.44,1
2.06,-1.95,1.6,-3.94,1.91,1.35,-5.08,-2.14,-1.89,-0.65,0.17,3.2,3.24,1.52,-1.73,3.25,1.78,-2.72,-0.58,-0.98,1
3.03,2.06,-1.95,1.6,-3.94,1.91,1.35,-5.08,-2.14,-1.89,-0.65,0.17,3.2,3.24,1.52,-1.73,3.25,1.78,-2.72,-0.58,1
-0.04,3.03,2.06,-1.95,1.6,-3.94,1.91,1.35,-5.08,-2.14,-1.89,-0.65,0.17,3.2,3.24,1.52,-1.73,3.25,1.78,-2.72,1
0.75,-0.04,3.03,2.06,-1.95,1.6,-3.94,1.91,1.35,-5.08,-2.14,-1.89,-0.65,0.17,3.2,3.24,1.52,-1.73,3.25,1.78,1
1.28,0.75,-0.04,3.03,2.06,-1.95,1.6,-3.94,1.91,1.35,-5.08,-2.14,-1.89,-0.65,0.17,3.2,3.24,1.52,-1.73,3.25,1
-0.6,1.28,0.75,-0.04,3.03,2.06,-1.95,1.6,-3.94,1.91,1.35,-5.08,-2.14,-1.89,-0.65,0.17,3.2,3.24,1.52,-1.73,1
2.23,-0.6,1.28,0.75,-0.04,3.03,2.06,-1.95,1.6,-3.94,1.91,1.35,-5.08,-2.14,-1.89,-0.65,0.17,3.2,3.24,1.52,1
-0.89,2.23,-0.6,1.28,0.75,-0.04,3.03,2.06,-1.95,1.6,-3.94,1.91,1.35,-5.08,-2.14,-1.89,-0.65,0.17,3.2,3.24,1
2.76,-0.89,2.23,-0.6,1.28,0.75,-0.04,3.03,2.06,-1.95,1.6,-3.94,1.91,1.35,-5.08,-2.14,-1.89,-0.65,0.17,3.2,1
0.07,2.76,-0.89,2.23,-0.6,1.28,0.75,-0.04,3.03,2.06,-1.95,1.6,-3.94,1.91,1.35,-5.08,-2.14,-1.89,-0.65,0.17,1
1.69,0.07,2.76,-0.89,2.23,-0.6,1.28,0.75,-0.04,3.03,2.06,-1.95,1.6,-3.94,1.91,1.35,-5.08,-2.14,-1.89,-0.65,0
-0.95,1.69,0.07,2.76,-0.89,2.23,-0.6,1.28,0.75,-0.04,3.03,2.06,-1.95,1.6,-3.94,1.91,1.35,-5.08,-2.14,-1.89,0
-1.88,-0.95,1.69,0.07,2.76,-0.89,2.23,-0.6,1.28,0.75,-0.04,3.03,2.06,-1.95,1.6,-3.94,1.91,1.35,-5.08,-2.14,1
2.63,-1.88,-0.95,1.69,0.07,2.76,-0.89,2.23,-0.6,1.28,0.75,-0.04,3.03,2.06,-1.95,1.6,-3.94,1.91,1.35,-5.08,0
-0.91,2.63,-1.88,-0.95,1.69,0.07,2.76,-0.89,2.23,-0.6,1.28,0.75,-0.04,3.03,2.06,-1.95,1.6,-3.94,1.91,1.35,0
4.51,-0.91,2.63,-1.88,-0.95,1.69,0.07,2.76,-0.89,2.23,-0.6,1.28,0.75,-0.04,3.03,2.06,-1.95,1.6,-3.94,1.91,0
0.42,4.51,-0.91,2.63,-1.88,-0.95,1.69,0.07,2.76,-0.89,2.23,-0.6,1.28,0.75,-0.04,3.03,2.06,-1.95,1.6,-3.94,0
1.42,0.42,4.51,-0.91,2.63,-1.88,-0.95,1.69,0.07,2.76,-0.89,2.23,-0.6,1.28,0.75,-0.04,3.03,2.06,-1.95,1.6,1
-2.47,1.42,0.42,4.51,-0.91,2.63,-1.88,-0.95,1.69,0.07,2.76,-0.89,2.23,-0.6,1.28,0.75,-0.04,3.03,2.06,-1.95,1
-3.22,-2.47,1.42,0.42,4.51,-0.91,2.63,-1.88,-0.95,1.69,0.07,2.76,-0.89,2.23,-0.6,1.28,0.75,-0.04,3.03,2.06,1
-2.65,-3.22,-2.47,1.42,0.42,4.51,-0.91,2.63,-1.88,-0.95,1.69,0.07,2.76,-0.89,2.23,-0.6,1.28,0.75,-0.04,3.03,1
2.75,-2.65,-3.22,-2.47,1.42,0.42,4.51,-0.91,2.63,-1.88,-0.95,1.69,0.07,2.76,-0.89,2.23,-0.6,1.28,0.75,-0.04,1
0.4,2.75,-2.65,-3.22,-2.47,1.42,0.42,4.51,-0.91,2.63,-1.88,-0.95,1.69,0.07,2.76,-0.89,2.23,-0.6,1.28,0.75,1
-0.15,0.4,2.75,-2.65,-3.22,-2.47,1.42,0.42,4.51,-0.91,2.63,-1.88,-0.95,1.69,0.07,2.76,-0.89,2.23,-0.6,1.28,1
1.83,-0.15,0.4,2.75,-2.65,-3.22,-2.47,1.42,0.42,4.51,-0.91,2.63,-1.88,-0.95,1.69,0.07,2.76,-0.89,2.23,-0.6,1
-1.25,1.83,-0.15,0.4,2.75,-2.65,-3.22,-2.47,1.42,0.42,4.51,-0.91,2.63,-1.88,-0.95,1.69,0.07,2.76,-0.89,2.23,0
1.24,-1.25,1.83,-0.15,0.4,2.75,-2.65,-3.22,-2.47,1.42,0.42,4.51,-0.91,2.63,-1.88,-0.95,1.69,0.07,2.76,-0.89,0
-2.12,1.24,-1.25,1.83,-0.15,0.4,2.75,-2.65,-3.22,-2.47,1.42,0.42,4.51,-0.91,2.63,-1.88,-0.95,1.69,0.07,2.76,0
2.23,-2.12,1.24,-1.25,1.83,-0.15,0.4,2.75,-2.65,-3.22,-2.47,1.42,0.42,4.51,-0.91,2.63,-1.88,-0.95,1.69,0.07,0
4.81,2.23,-2.12,1.24,-1.25,1.83,-0.15,0.4,2.75,-2.65,-3.22,-2.47,1.42,0.42,4.51,-0.91,2.63,-1.88,-0.95,1.69,0
-2,4.81,2.23,-2.12,1.24,-1.25,1.83,-0.15,0.4,2.75,-2.65,-3.22,-2.47,1.42,0.42,4.51,-0.91,2.63,-1.88,-0.95,0
-3.47,-2,4.81,2.23,-2.12,1.24,-1.25,1.83,-0.15,0.4,2.75,-2.65,-3.22,-2.47,1.42,0.42,4.51,-0.91,2.63,-1.88,0
2.04,-3.47,-2,4.81,2.23,-2.12,1.24,-1.25,1.83,-0.15,0.4,2.75,-2.65,-3.22,-2.47,1.42,0.42,4.51,-0.91,2.63,0
-0.28,2.04,-3.47,-2,4.81,2.23,-2.12,1.24,-1.25,1.83,-0.15,0.4,2.75,-2.65,-3.22,-2.47,1.42,0.42,4.51,-0.91,0
0.41,-0.28,2.04,-3.47,-2,4.81,2.23,-2.12,1.24,-1.25,1.83,-0.15,0.4,2.75,-2.65,-3.22,-2.47,1.42,0.42,4.51,0
-4.15,0.41,-0.28,2.04,-3.47,-2,4.81,2.23,-2.12,1.24,-1.25,1.83,-0.15,0.4,2.75,-2.65,-3.22,-2.47,1.42,0.42,0
2.38,-4.15,0.41,-0.28,2.04,-3.47,-2,4.81,2.23,-2.12,1.24,-1.25,1.83,-0.15,0.4,2.75,-2.65,-3.22,-2.47,1.42,0
0.33,2.38,-4.15,0.41,-0.28,2.04,-3.47,-2,4.81,2.23,-2.12,1.24,-1.25,1.83,-0.15,0.4,2.75,-2.65,-3.22,-2.47,0
-0.49,0.33,2.38,-4.15,0.41,-0.28,2.04,-3.47,-2,4.81,2.23,-2.12,1.24,-1.25,1.83,-0.15,0.4,2.75,-2.65,-3.22,0
-1.1,-0.49,0.33,2.38,-4.15,0.41,-0.28,2.04,-3.47,-2,4.81,2.23,-2.12,1.24,-1.25,1.83,-0.15,0.4,2.75,-2.65,0
-3.48,-1.1,-0.49,0.33,2.38,-4.15,0.41,-0.28,2.04,-3.47,-2,4.81,2.23,-2.12,1.24,-1.25,1.83,-0.15,0.4,2.75,0
-1.54,-3.48,-1.1,-0.49,0.33,2.38,-4.15,0.41,-0.28,2.04,-3.47,-2,4.81,2.23,-2.12,1.24,-1.25,1.83,-0.15,0.4,0
0.08,-1.54,-3.48,-1.1,-0.49,0.33,2.38,-4.15,0.41,-0.28,2.04,-3.47,-2,4.81,2.23,-2.12,1.24,-1.25,1.83,-0.15,0
0.82,0.08,-1.54,-3.48,-1.1,-0.49,0.33,2.38,-4.15,0.41,-0.28,2.04,-3.47,-2,4.81,2.23,-2.12,1.24,-1.25,1.83,0
-4.99,0.82,0.08,-1.54,-3.48,-1.1,-0.49,0.33,2.38,-4.15,0.41,-0.28,2.04,-3.47,-2,4.81,2.23,-2.12,1.24,-1.25,0
-3.77,-4.99,0.82,0.08,-1.54,-3.48,-1.1,-0.49,0.33,2.38,-4.15,0.41,-0.28,2.04,-3.47,-2,4.81,2.23,-2.12,1.24,0
-0.18,-3.77,-4.99,0.82,0.08,-1.54,-3.48,-1.1,-0.49,0.33,2.38,-4.15,0.41,-0.28,2.04,-3.47,-2,4.81,2.23,-2.12,0
-1.39,-0.18,-3.77,-4.99,0.82,0.08,-1.54,-3.48,-1.1,-0.49,0.33,2.38,-4.15,0.41,-0.28,2.04,-3.47,-2,4.81,2.23,0
-4.51,-1.39,-0.18,-3.77,-4.99,0.82,0.08,-1.54,-3.48,-1.1,-0.49,0.33,2.38,-4.15,0.41,-0.28,2.04,-3.47,-2,4.81,0
-4.65,-4.51,-1.39,-0.18,-3.77,-4.99,0.82,0.08,-1.54,-3.48,-1.1,-0.49,0.33,2.38,-4.15,0.41,-0.28,2.04,-3.47,-2,0
-0.01,-4.65,-4.51,-1.39,-0.18,-3.77,-4.99,0.82,0.08,-1.54,-3.48,-1.1,-0.49,0.33,2.38,-4.15,0.41,-0.28,2.04,-3.47,0
1.18,-0.01,-4.65,-4.51,-1.39,-0.18,-3.77,-4.99,0.82,0.08,-1.54,-3.48,-1.1,-0.49,0.33,2.38,-4.15,0.41,-0.28,2.04,0
4.4,1.18,-0.01,-4.65,-4.51,-1.39,-0.18,-3.77,-4.99,0.82,0.08,-1.54,-3.48,-1.1,-0.49,0.33,2.38,-4.15,0.41,-0.28,0
-4.1,4.4,1.18,-0.01,-4.65,-4.51,-1.39,-0.18,-3.77,-4.99,0.82,0.08,-1.54,-3.48,-1.1,-0.49,0.33,2.38,-4.15,0.41,0
